"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1921540676950364225","Mon May 12 03:45:46 +0000 2025","0","@InfosuporterID Bung @gibran_tweet apakah suporter @AremafcOfficial bisa dibikin menjadi PINTAR dan SOPAN dengan AI jika klub kesayangannya KALAH? Mohon pencerahannya Bung Fufufafa.","1921773770273882134","","InfosuporterID","in","","0","0","0","https://x.com/undefined/status/1921773770273882134","1742373797997744128",
"1921773298322473026","Mon May 12 03:43:53 +0000 2025","1","Kitabisa nya dek Hilma https://t.co/ueofGpyjih jualan kayu reqal mohon cekk bio. semoga BantuBeli ‍️‍️ gempa libur paus barak luna maya Grib gibran ijazah jokowi Ai aldy kanjuruhan ormas https://t.co/tbDfycfd4O","1921773298322473026","https://pbs.twimg.com/ext_tw_video_thumb/1921773083800788992/pu/img/wVF6ZsV9SbhAyqvL.jpg","","in","","0","0","0","https://x.com/undefined/status/1921773298322473026","1795996999797579777",
"1921764034040238496","Mon May 12 03:36:05 +0000 2025","1","@DianSandiU Setuju dengan ide kay/sss tidak setuju dengan caranya. Kita memang perlu mempelajari regulasi AI. Diharapkan Wapres @gibran_tweet juga mensosialisasikan hal ini. Untuk kay sendiri technologi itu bagus kalau dikawal dengan logika dan rasionalitas.","1921771333379149852","","DianSandiU","in","","0","3","0","https://x.com/undefined/status/1921771333379149852","1896888621384466433",
"1921761871599669260","Mon May 12 03:03:37 +0000 2025","1","@Pasar_Gambir99 @prabowo @ListyoSigitP @gibran_tweet @jokowi Makin marak malah nnti meme AI penghinaan presiden","1921763162413523315","","Pasar_Gambir99","in","","0","1","0","https://x.com/undefined/status/1921763162413523315","1604408934525464576",
"1921756226167185919","Mon May 12 02:36:03 +0000 2025","12","Wakil Presiden Gibran Rakabuming Raka mengungkapkan bahwa artificial intelligence (AI) bisa mengatasi banjir hingga mengidentifikasi copet. https://t.co/SPOAKqrjVE","1921756226167185919","https://pbs.twimg.com/media/GqtzGKhXQAAlxaM.jpg","","in","","0","1","1","https://x.com/undefined/status/1921756226167185919","1673276769355575296",
"1921087901070237739","Mon May 12 02:08:46 +0000 2025","0","@mantikilantip @denismalhotra @gibran_tweet @DivHumas_Polri Gunakan AI dengan bijak","1921749360695443760","","mantikilantip","in","","0","0","0","https://x.com/undefined/status/1921749360695443760","1383833832936251396",
"1921737592040468637","Mon May 12 01:43:00 +0000 2025","1","@kemgelapan Kalo gibran menolak hadir. Tolong undang @pandji dulu beliau juga pernah menjadi korban penyalahgunaan AI.","1921742876888777054","","kemgelapan","in","","0","0","0","https://x.com/undefined/status/1921742876888777054","1686024170751090688",
"1921740542603616342","Mon May 12 01:33:44 +0000 2025","26","Lagian memenya juga buatan AI. AI kan junjungannya @gibran_tweet Knp mesti ditangkep?","1921740542603616342","","","in","","0","0","5","https://x.com/undefined/status/1921740542603616342","1466010829359255554",
"1921735274205229057","Mon May 12 01:12:48 +0000 2025","1","my thought on prabowo jokowi s AI is actually confussing soalnya ngerasa kaya ga adil aja gt anjingggg kenapasih hal receh kek gt aja ditangkep tot prabowo penjahat ham aja kaga di tangkep gobleuggg gibran yg ngatain peabowo jg g ditangkkep trs jokowi yg udah bikin (..)","1921735274205229057","","","in","","0","2","0","https://x.com/undefined/status/1921735274205229057","1728452512724987904",
"1921732113293771231","Mon May 12 01:00:14 +0000 2025","117","Wakil Presiden Gibran Rakabuming Raka mengungkapkan bahwa artificial intelligence (AI) bisa mengatasi banjir hingga mengidentifikasi copet. https://t.co/uOo2tyBcUQ","1921732113293771231","https://pbs.twimg.com/media/GqtdKrBa0AAcurD.jpg","","in","","0","1","3","https://x.com/undefined/status/1921732113293771231","1673276769355575296",
